Name of School,Email,Link,Municipality/City,Barangay,Street,Minimum,Maximum,Courses,2 Year Courses,Mission,Vision,Core Values,College Type
ACLC - Mabalacat ,info@aclccollegeofmabalacat.com,https://www.facebook.com/aclcmabalacatcampus/,Mabalacat,Dau,Dau Mart II McArthur Hi-way,52000,108000,"Bachelor of Science in Information System, Bachelor of Science in Computer Science, Bachelor of Science in Accounting Information System, Bachelor of Science in Entrepreneurship",Associate in Computer Technology,,,,True
Alpha Aviation Group,ph.info@aag.aero,https://aag.aero/,Angeles,,"Jose Abad Santos Ave, Clark Freeport",0,0,,"Multi-Crew Pilot License (MPL) Program, Airline Pilot Program (APP), First Officer Preparation (FOP), First Officer Transition (FOT) Program, Ab-Initio CAAV Program, Synthetic Flight Instructor Course (SFIC)",Train and develop world-class pilots and future leaders for the aviation industry by providing top-of-class training solutions.,An AAG-trained pilot in every flight deck in the regions we serve.,"Service Excellence, Teamwork, Customer Satisfaction",True
AMA Computer University - Angeles Pampanga Campus,,https://www.ama.edu.ph/,Angeles,Angeles,"P.Santos St,",45000,54000,"Bachelor of Science in Computer Engineering, Bachelor of Science in Computer Engineering, Bachelor of Science in Computer Science, Bachelor of Science in Information Technology, Bachelor of Science in Electronics and Communications Engineering, Bachelor of Science in Business Administration major in Management",,"AMA is committed to delivering comprehensive, relevant, and high-quality IT-based education across all levels and fields. Our goal is to cultivate world-class professionals and leaders who are attuned to the demands of technology and the global community, conscious of the well-being and welfare of others, and capable of realizing their potential as productive members of society, all to honor and glorify God Almighty.","To become the foremost and most prominent provider of globally recognized information technology-based education and related services in the global market, helping our graduates lead joyful, fulfilling, professional, and personal lives.",,True
AMA Computer University - San Fernando Pampanga Campus,,https://www.ama.edu.ph/,San Fernando,Sto. Rosario,2nd flr. OYG Bldg. B. Mendoza St.,48000,54000,"Bachelor of Science in Computer Engineering, Bachelor of Science in Computer Science, Bachelor of Science in Information Technology, Bachelor of Science in Information Technology
",,"AMA is committed to delivering comprehensive, relevant, and high-quality IT-based education across all levels and fields. Our goal is to cultivate world-class professionals and leaders who are attuned to the demands of technology and the global community, conscious of the well-being and welfare of others, and capable of realizing their potential as productive members of society, all to honor and glorify God Almighty.","To become the foremost and most prominent provider of globally recognized information technology-based education and related services in the global market, helping our graduates lead joyful, fulfilling, professional, and personal lives.",,True
Angeles University Foundation,admissions@auf.edu.ph,https://www.auf.edu.ph/,Angeles,Claro M Recto,MacArthur Hwy,70000,75000,"Bachelor of Science in Physical Therapy, Bachelor of Science in Occupational Therapy, Bachelor of Science in Medical Technology, Bachelor of Science in Pharmacy, Bachelor of Science in Radiologic Technology, Bachelor of Arts in Communication, Bachelor of Science in Biology, Bachelor of Science in Biology Three-Year Accelerated Program, Bachelor of Science in Psychology, Bachelor of Arts in Psychology (for International Students), Bachelor of Arts in Psychology , Master of Arts in Psychology, Bachelor of Science in Accountancy, Bachelor of Science in Hotel and Restaurant Management, Bachelor of Science in Management Accounting, Bachelor of Science in Tourism Management, Bachelor of Science in Business Administration, Bachelor of Science in Criminology, Bachelor of Science in Computer Science, Bachelor of Science in Information Technology, Bachelor of Fine Arts in Multimedia Arts, Bachelor of Secondary Education, Bachelor of Physical Education Major in School Physical Education, Bachelor of Elementary Education, Bachelor of Science in Architecture, Bachelor of Science in Civil Engineering, Bachelor of Science in Computer Engineering, Bachelor of Science in Electronics Engineering, Bachelor of Science in Nursing
",,"To realize its vision, the University is committed to the Total development of man for God and Humanity.","Inspired by the teachings and tradition of the Catholic Church, the Angeles University Foundation envisions to emerge as a Center of excellence in instruction, research, and community extension services in the region and in the global community.","Mabuti, Magaling, Malasakit sa Kapwa",True
Asian College of Aeronautics,aca_pampanga@yahoo.com,,Angeles,Balibago,111 Mac Arthur Highway,0,0,"Associate in Aviation Electronics Technology and Aircraft Maintenance Technology
",,,,,True
Asian Institute of Science and Technology,aisatdau@yahoo.com,https://www.facebook.com/AISATDAUPORTAL,Mabalacat,Dau,AISAT BLDG. MC ARTHUR HI-WAY,32000,43000,"Bachelor of Science in Accountancy, Bachelor of Science in Office Administration, Bachelor of Technical-Vocational Teacher Education Major in Food Service Management
",,,,,True
Central Luzon College,celtech.registrar@gmail.com,https://sf.clcst.edu.ph/,San Fernando,Sto. Rosario,B. Mendoza St.,0,0,"Bachelor of Science in Hospitality Management, Bachelor of Science in Hotel and Restaurant Management, Bachelor of Science in Tourism, Bachelor of Science in Marine Engineering, Bachelor of Science in Marine Transportation, Bachelor of Science in Information Technology, Bachelor of Technical Teacher Education, Bachelor of Science in Customs Administration, Bachelor of Science in Criminology
",,"Central Luzon College of Science and Technology, or CELTECH College, is totally committed to be a leading career development and education center for maritime, health care, business and public administration, applied science, and technical-vocational courses to meet the manpower requirements of an industrializing and economically strong Philippines in the third millennium.",To provide quality and globally competitive education for the Filipino youth,,True
City College of Angeles,op@cca.edu.ph,https://www.cca.edu.ph/,Angeles,Pampang,Arayat Boulevard,0,0,"Bachelor of Science in Computer Science, Bachelor of Science in Information Systems, Associate in Computer Technology, Bachelor of Library and Information Science, Bachelor of Science in Tourism Management, Bachelor of Science in Entrepreneurship, Bachelor of Science in Accountancy, Bachelor of Science in Physical Education, Bachelor of Technical-Vocational Teacher Education Major in Food and Service Management, Bachelor of Arts in English Language Studies, Bachelor of Special Needs Education, Bachelor of Science in Mathematics, Bachelor of Science in Psychology
",,"The City College of Angeles is committed to offer quality education for the holistic development of competitive and technically-capable professionals with deep sense of excellence, resiliency, stewardship, and patrimony.","An institution of hope, a thought leader in its area of operations and preferred provider of talent in the Metro Angeles Area.","Excellence,Resiliency,Stewardship,Patrimony",False
City College Of San Fernando Pampanga,"info@citycollegeofsanfernando.edu.ph
",https://citycollegeofsanfernando.edu.ph/,San Fernando,San Juan,Magdalena St,0,0,"Bachelor of Science in Accounting Information System, Bachelor of Science in Information Technology, Bachelor of Science in Business Administration Major in: Financial Management, Bachelor of Science in Business Administration Major in: Marketing Management, Bachelor of Science in Business Administration Major in: Operations Management, Bachelor of Science in Business Administration Major in: Human Resource Management, Bachelor of Elementary Education, Bachelor of Secondary Education Major in: English, Bachelor of Secondary Education Major in: Mathematics, Bachelor of Secondary Education Major in: Science
",,"To provide education, research and outreach services through human capital development and proper financial management for the formation of poor but deserving students thereby, contributing to economic development and promotion of social equality.","By 2024, the City College of San Fernando is a leading institution of academic excellence providing accessible and quality tertiary education.
","The CCSFP Core Values that the College upholds “Who We Are” and what we believe in and live by: Integrity, Discipline, Commitment, Competence, Patriotism, Professionalism
",False
